title,y_max_salary,y_min_salary,pay_period,formatted_work_type,remote_allowed,application_type,formatted_experience_level,posting_domain,listed_time
""AIML - Senior Data Infrastructure Software Engineer  Machine Learning Platform and Technology"",364100,199800,YEARLY,Full-time,No,OffsiteApply,,jobs.apple.com,"2023-08-24 04:06:40"
""Data Engineering Product Lead (Hybrid)"",304500,193440,YEARLY,Full-time,No,OffsiteApply,,jobs.msd.com,"2023-08-22 21:33:20"
""Engineering Manager: Databases"",275000,191000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",boards.greenhouse.io,"2023-11-03 19:33:20"
""Senior Software Engineer (Data)"",265000,190000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",boards.greenhouse.io,"2023-11-03 16:46:40"
""Data Foundation Engineering Leader – GRS Tech"",262500,150000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",app.eightfold.ai,"2023-11-04 06:40:00"
""Lead Data/Machine Learning Engineer"",250000,165000,YEARLY,Full-time,Yes,OffsiteApply,,www.thoughtworks.com,"2023-11-03 22:20:00"
""Director  Data Engineering"",247000,193000,YEARLY,Full-time,No,OffsiteApply,Director,lendingclub.wd1.myworkdayjobs.com,"2023-11-02 21:20:00"
""Staff Data Engineer (SaaS)"",240000,210000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Big Data Engineer"",228800,208000,HOURLY,Contract,No,ComplexOnsiteApply,,,"2023-11-02 21:20:00"
""Software Engineer - Database Engineering (Seattle)"",218500,150000,YEARLY,Full-time,No,OffsiteApply,"Entry level",careers.snowflake.com,"2023-08-22 21:33:20"
""Software Engineer - Database Engineering (San Mateo)"",218500,150000,YEARLY,Full-time,No,OffsiteApply,"Entry level",careers.snowflake.com,"2023-08-22 21:33:20"
""Lead Data/Machine Learning Engineer"",211000,137000,YEARLY,Full-time,Yes,OffsiteApply,,www.thoughtworks.com,"2023-11-03 22:20:00"
""Data Engineer - $175k+"",200000,150000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Data Platform Engineer - ML Platform"",199000,186000,YEARLY,Full-time,Yes,OffsiteApply,"Entry level",www.stitchfix.com,"2023-11-03 22:20:00"
""Principal Data Engineer"",195000,170000,YEARLY,Full-time,Yes,ComplexOnsiteApply,,,"2023-08-22 21:33:20"
""Distributed Data Systems - Software Engineer"",190000,150000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",databricks.com,"2023-11-03 19:33:20"
""Distributed Data Systems - Software Engineer"",190000,150000,YEARLY,Full-time,Yes,OffsiteApply,"Mid-Senior level",databricks.com,"2023-11-03 19:33:20"
""Director  Data Engineering"",180000,160000,YEARLY,Full-time,No,OffsiteApply,,rr.jobsyn.org,"2023-11-03 22:20:00"
""Senior Data Engineer"",180000,160000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-22 21:33:20"
""Staff Data Engineer"",180000,145000,YEARLY,Full-time,Yes,OffsiteApply,"Mid-Senior level",www.energyhub.com,"2023-08-22 21:33:20"
""Cloud Customer Engineer  Data Management  Google Cloud"",177000,118000,YEARLY,Full-time,No,OffsiteApply,,careers.google.com,"2023-08-23 22:33:20"
""Cloud Customer Engineer  Data Management  Google Cloud"",177000,118000,YEARLY,Full-time,No,OffsiteApply,,careers.google.com,"2023-08-23 22:33:20"
""Cloud Customer Engineer  Data Management  Google Cloud"",177000,118000,YEARLY,Full-time,No,OffsiteApply,,careers.google.com,"2023-08-23 22:33:20"
""Data Engineer 1"",173400,105100,YEARLY,Full-time,No,OffsiteApply,,travelers.wd5.myworkdayjobs.com,"2023-11-03 22:20:00"
""Database Engineer"",172400,82100,YEARLY,Full-time,No,OffsiteApply,"Entry level",careers.caci.com,"2023-11-03 22:20:00"
""Senior Data/Machine Learning Engineer"",172000,112000,YEARLY,Full-time,Yes,OffsiteApply,,www.thoughtworks.com,"2023-11-03 22:20:00"
""Data Engineer IV"",170976,98640,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",invitationhomes.wd1.myworkdayjobs.com,"2023-08-23 22:33:20"
""Senior Data Engineer"",170000,160000,YEARLY,Full-time,Yes,ComplexOnsiteApply,,,"2023-08-23 00:20:00"
""Data Engineer  Google Nest"",169000,115000,YEARLY,Full-time,No,OffsiteApply,,careers.google.com,"2023-08-23 22:33:20"
""Data Engineer"",166400,156000,HOURLY,Contract,No,SimpleOnsiteApply,"Entry level",,"2023-11-03 19:33:20"
""Staff Data Engineer - Batch Platform AI Team"",163800,126000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.smartrecruiters.com,"2023-11-03 22:20:00"
""AWS Data Engineer"",160000,130000,YEARLY,Full-time,No,ComplexOnsiteApply,Director,,"2023-11-03 19:33:20"
