title,y_max_salary,y_min_salary,pay_period,formatted_work_type,remote_allowed,application_type,formatted_experience_level,posting_domain,listed_time
""Vice President Clinical Operations"",330000,280000,YEARLY,Full-time,No,ComplexOnsiteApply,Executive,,"2023-11-03 19:33:20"
""Sr Director Biostatistics"",270000,235000,YEARLY,Full-time,No,ComplexOnsiteApply,Executive,,"2023-11-03 19:33:20"
""Senior Director  Study Start Up"",265000,230000,YEARLY,Full-time,No,OffsiteApply,Director,jobs.jobvite.com,"2023-11-03 22:20:00"
""Director/Senior Director  CMC"",265000,198000,YEARLY,Full-time,No,OffsiteApply,Director,,"2023-08-22 21:33:20"
""Associate Director  Biostatistics - Oncology"",240000,200000,YEARLY,Full-time,No,OffsiteApply,Director,,"2023-11-03 22:20:00"
""Director  Bioconjugation Chemistry"",230000,206000,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-10-31 13:46:40"
""Solutions Engineer - Synthetic Biology: Early Stage Project  X"",216000,140000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",x.company,"2023-08-22 21:33:20"
""Principal Bioinformatics Scientist  Protein Decoding"",215000,176000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Associate Director  Quality Assurance"",192000,182000,YEARLY,Full-time,No,OffsiteApply,Director,jobs.lever.co,"2023-08-22 21:33:20"
""Postdoctoral Researcher - Biosensors"",187920,125280,YEARLY,Full-time,No,OffsiteApply,,ibm.contacthr.com,"2023-08-24 04:06:40"
""Senior Scientist  Ex Vivo Tissue Modeling"",165000,130000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Senior Manager  Research & Development"",165000,125000,YEARLY,Full-time,No,OffsiteApply,,,"2023-11-03 22:20:00"
""Senior Bioinformatics Scientist"",165000,135000,YEARLY,Full-time,No,OffsiteApply,Associate,,"2023-11-03 19:33:20"
""Manager / TL Packaging & Warehouse - 2nd Shift"",161600,96900,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",pfizer.wd1.myworkdayjobs.com,"2023-11-03 22:20:00"
""Sr. Scientist  Drug Product Development SME"",160000,144000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.lever.co,"2023-11-03 19:33:20"
""Director of Quality"",160000,140000,YEARLY,Full-time,No,OffsiteApply,Director,,"2023-10-31 16:33:20"
""Senior Scientist"",160000,140000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-24 06:53:20"
""Scientist I/II  Biophysics"",157000,124000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",,"2023-08-23 22:33:20"
""Senior Human Resources Manager"",152350,104000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",careers-smithfield.icims.com,"2023-11-03 22:20:00"
""Manager  Study Start Up"",150000,130000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.jobvite.com,"2023-11-03 22:20:00"
""Manager  Study Start Up"",150000,130000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.jobvite.com,"2023-11-03 22:20:00"
""Senior Scientist  Heterobifunctional Chemistry"",150000,115000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Senior Scientist – ADC Characterization"",140000,110000,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""Director of Business Development"",140000,100000,YEARLY,Full-time,No,ComplexOnsiteApply,Director,jobot.com,"2023-11-04 03:53:20"
""Metallurgical Laboratory Supervisor"",135000,110000,YEARLY,Full-time,No,SimpleOnsiteApply,,www.randstadusa.com,"2023-08-22 21:33:20"
""Clinical Project Manager"",134000,117000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.jobvite.com,"2023-10-31 22:06:40"
""Principal Specialist  Internal Auditing - Global Compliance"",130000,110000,YEARLY,Full-time,Yes,OffsiteApply,Executive,jsrglobal.wd1.myworkdayjobs.com,"2023-11-03 22:20:00"
""Sr. Associate Scientist  Downstream Development"",121000,107000,YEARLY,Full-time,No,ComplexOnsiteApply,Associate,,"2023-08-24 01:20:00"
"" Lead Maintenance Technician "",115000,90000,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-08-22 18:46:40"
""Quality Control Laboratory Manager - 215180"",110000,100000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Senior Accountant"",110000,80000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-22 18:46:40"
""Accounting Manager"",105000,95000,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-08-22 18:46:40"
""Lab Technician V"",104000,83200,HOURLY,Contract,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 22:20:00"
""Process Development Scientist"",104000,83200,HOURLY,Contract,No,ComplexOnsiteApply,Associate,,"2023-08-22 18:46:40"
""Market Research or Senior Market Research Manager"",103265,89841,YEARLY,Full-time,Yes,OffsiteApply,"Mid-Senior level",gfi.org,"2023-08-23 00:20:00"
""Sales Executive - VFFS & Flow Wrapping (Remote - North West US)"",100000,80000,YEARLY,Full-time,Yes,OffsiteApply,"Mid-Senior level",barrywehmiller.wd1.myworkdayjobs.com,"2023-11-04 03:53:20"
""Customer Support Scientist – LC/MS"",95000,70000,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""Financial Controller"",90000,85000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",,"2023-11-03 22:20:00"
""Executive Assistant"",90000,70000,YEARLY,Full-time,No,ComplexOnsiteApply,Associate,,"2023-08-22 18:46:40"
""Cell Culture Research Associate"",83200,70720,HOURLY,Contract,No,OffsiteApply,"Mid-Senior level",jsv3.recruitics.com,"2023-08-22 21:33:20"
""Research Associate I"",79800,65500,YEARLY,Full-time,No,OffsiteApply,Associate,jobs.jobvite.com,"2023-11-03 22:20:00"
""Production Supervisor - 2nd Shift"",79750,60000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",careers-smithfield.icims.com,"2023-11-04 06:40:00"
""Associate Packaging Engineer (Remote Opportunity)"",79750,54000,YEARLY,Full-time,Yes,OffsiteApply,"Entry level",careers-smithfield.icims.com,"2023-11-03 22:20:00"
""Veterinary Technician"",68640,52000,HOURLY,Contract,No,ComplexOnsiteApply,Associate,,"2023-11-03 22:20:00"
""Molecular Research Associate"",64000,55000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",careers.pipercompanies.com,"2023-11-03 22:20:00"
""Analytical Chemist"",54080,41600,HOURLY,Contract,No,ComplexOnsiteApply,Associate,,"2023-08-22 18:46:40"
""Environmental Analyst I"",52000,45760,HOURLY,Full-time,No,OffsiteApply,"Entry level",montrose.wd1.myworkdayjobs.com,"2023-11-03 22:20:00"
""Laboratory Technician"",52000,41600,HOURLY,Contract,No,ComplexOnsiteApply,Associate,,"2023-08-22 21:33:20"
""R&D Research Associate"",52000,41600,HOURLY,Contract,No,OffsiteApply,"Entry level",click.appcast.io,"2023-08-24 04:06:40"
""Seafood Production Cutter"",49920,37440,HOURLY,Full-time,No,OffsiteApply,"Entry level",us232.dayforcehcm.com,"2023-11-03 19:33:20"
""Quality Control Tech - 3rd Shift"",48880,32240,HOURLY,Full-time,No,OffsiteApply,"Entry level",hourlycareers-homechef.icims.com,"2023-11-03 19:33:20"
""Quality Control Tech 1st shift"",48880,32240,HOURLY,Full-time,No,OffsiteApply,"Entry level",hourlycareers-homechef.icims.com,"2023-08-21 17:46:40"
""Forklift/Receiving Operator  W&D 3rd Shift"",46800,39374,HOURLY,Full-time,No,OffsiteApply,Associate,jobdetails.nestle.com,"2023-11-03 22:20:00"
""Production Utility"",45760,37440,HOURLY,Full-time,No,OffsiteApply,"Entry level",us232.dayforcehcm.com,"2023-11-03 19:33:20"
""Meat/Seafood Clerk"",44408,32864,HOURLY,Part-time,No,OffsiteApply,"Entry level",sprouts.jibeapply.com,"2023-08-24 04:06:40"
""Bulk Material Handler 3rd Shift"",42453,38002,HOURLY,Full-time,No,OffsiteApply,Associate,jobdetails.nestle.com,"2023-11-03 22:20:00"
""Bulk Material Handler 1st Shift"",36213,31762,HOURLY,Full-time,No,OffsiteApply,Associate,jobdetails.nestle.com,"2023-11-03 22:20:00"
""Deep Learning Scientist  Protein Engineering"",150,150,YEARLY,Full-time,No,ComplexOnsiteApply,,,"2023-08-24 01:20:00"
